,area_type,availability,location,society,bath,balcony,price,Sqft_range_starts,Sqft_range_ends,Size,Flat_layout
73,3,18-Apr,Haralur Road,SNnia E,2.0,1.0,70.0,1240.0,1240.0,2,0
74,3,Ready To Move,Hennur Road,Anavi B,3.0,2.0,140.0,2089.0,2089.0,3,0
75,3,Ready To Move,Kothannur,Anavi B,2.0,1.0,48.23,1206.0,1206.0,2,0
76,3,Ready To Move,Kalena Agrahara,Anavi B,2.0,3.0,40.0,1150.0,1150.0,2,0
77,0,Ready To Move,Cholanayakanahalli,Viony H,3.0,3.0,205.0,2511.0,2511.0,3,0
78,0,Ready To Move,Kaval Byrasandra,Viony H,1.0,0.0,22.0,460.0,460.0,2,0
79,0,Ready To Move,ISRO Layout,Viony H,6.0,3.0,250.0,4400.0,4400.0,6,1
80,3,Ready To Move,Kodanda Reddy Layout,AdentEl,2.0,2.0,105.0,1660.0,1660.0,3,0
81,0,18-Oct,Hennur Road,Gollela,2.0,2.0,224.5,2957.0,3450.0,4,1
82,3,19-Mar,Yelahanka,Niareum,2.0,2.0,78.0,1326.0,1326.0,2,0
83,3,Ready To Move,Garudachar Palya,Niareum,2.0,2.0,60.8,1325.0,1325.0,3,0
84,3,Ready To Move,EPIP Zone,SJlynro,5.0,2.0,102.0,1499.0,1499.0,3,0
85,0,Ready To Move,Hegde Nagar,SJlynro,7.0,2.0,210.0,3000.0,3000.0,6,1
86,3,Ready To Move,Kanakpura Road,SJlynro,3.0,2.0,88.0,1665.0,1665.0,3,0
87,3,17-Sep,Dasanapura,Tavenew,2.0,2.0,37.0,708.0,708.0,2,0
88,3,Ready To Move,Kasavanhalli,Srire S,2.0,2.0,58.06,1060.0,1060.0,2,0
89,2,Ready To Move,Rajaji Nagar,Srire S,6.0,3.0,160.0,710.0,710.0,6,1
90,0,Ready To Move,Sanjay nagar,Saenti ,2.0,2.0,70.0,1000.0,1000.0,2,0
91,3,18-Dec,Electronic City,Saenti ,2.0,1.0,28.88,1000.0,1000.0,2,0
92,3,Ready To Move, Mysore Highway,Saenti ,2.0,2.0,70.0,1450.0,1450.0,3,0
93,2,Ready To Move,ISRO Layout,Saenti ,4.0,2.0,155.0,1200.0,1200.0,4,1
94,3,17-Aug,Thanisandra,Bhmesy ,2.0,3.0,80.0,1296.0,1296.0,2,0
95,3,Ready To Move,Domlur,Bhmesy ,3.0,2.0,90.0,1540.0,1540.0,3,0
96,2,Ready To Move,Kengeri,Goardth,4.0,1.0,245.0,2894.0,2894.0,4,1
97,3,Ready To Move,Sarjapura - Attibele Road,Goardth,2.0,1.0,48.0,1330.0,1330.0,3,0
98,0,Ready To Move,Devasthanagalu,Goardth,2.0,1.0,65.0,1200.0,1200.0,2,0
99,0,Ready To Move,T Dasarahalli,Goardth,3.0,1.0,90.0,1200.0,1200.0,3,1
100,3,Ready To Move,Yeshwanthpur,IBityin,3.0,3.0,138.0,2502.0,2502.0,3,0
101,0,Ready To Move,Chandapura,KHityry,1.0,1.0,17.0,650.0,650.0,2,0
102,2,Ready To Move,Kothanur,BDensar,2.0,1.0,150.0,2400.0,2400.0,3,1
103,3,Ready To Move,Green View Layout,Makeser,2.0,2.0,43.0,1007.0,1007.0,2,0
104,3,Ready To Move,Shantiniketan Layout,Maest N,2.0,2.0,50.0,1200.0,1200.0,2,0
105,3,Ready To Move,Peenya,Maest N,2.0,2.0,49.9,966.0,966.0,2,0
106,0,Ready To Move,Nagarbhavi,Maest N,2.0,1.0,98.0,1630.0,1630.0,3,0
107,0,Ready To Move,Rajaji Nagar,Brway G,3.0,2.0,229.0,1640.0,1640.0,3,0
108,0,Ready To Move,Jalahalli West,Brway G,2.0,2.0,55.68,782.0,782.0,2,0
109,3,19-Apr,Devanahalli,Oznuean,2.0,2.0,66.78,1260.0,1260.0,2,0
110,3,Ready To Move,Lakshmiamma Garden,Oznuean,3.0,3.0,120.0,1800.0,1800.0,3,0
111,3,Ready To Move,Byatarayanapura,Reeroce,2.0,2.0,75.0,1413.0,1413.0,3,0
112,3,Ready To Move,Whitefield,Sonviik,2.0,1.0,51.91,1116.0,1116.0,2,0
113,3,Ready To Move,Electronic City,DSgmax ,2.0,1.0,45.9,1530.0,1530.0,3,0
114,0,Ready To Move,Ramamurthy Nagar,DSgmax ,4.0,1.0,225.0,3700.0,3700.0,4,1
115,0,Ready To Move,Sarjapur  Road,Cetattu,3.0,2.0,140.0,2497.0,2497.0,3,1
116,3,Ready To Move,Kengeri,Vaens G,2.0,3.0,64.0,1540.0,1540.0,3,0
117,3,18-Dec,Thanisandra,Vaens G,3.0,1.0,74.75,1436.0,1436.0,3,0
118,3,18-Jun,Malleshwaram,Vaens G,2.0,2.0,75.0,1100.0,1100.0,2,0
119,2,Ready To Move,Hennur Road,Vaens G,3.0,3.0,23.0,276.0,276.0,2,1
120,3,Ready To Move,Thanisandra,Moity S,3.0,2.0,120.0,1427.0,1427.0,3,0
121,3,Ready To Move,Akshaya Nagar,HiahsLa,3.0,1.0,200.0,2061.0,2061.0,3,0
122,3,18-Mar,Hebbal,SNontle,4.0,0.0,477.0,3067.0,8156.0,4,0
123,0,Ready To Move,Shampura,SNontle,4.0,2.0,150.0,2650.0,2650.0,4,0
124,3,22-Dec,Devanahalli,Sabixtt,2.0,2.0,68.52,1282.0,1282.0,3,0
125,0,Ready To Move,Kadugodi,Sabixtt,2.0,1.0,34.0,1050.0,1050.0,2,0
126,0,Ready To Move,LB Shastri Nagar,Sragei ,3.0,2.0,65.0,1600.0,1600.0,3,0
127,3,22-Jan,Vajarahalli,Sragei ,2.0,1.0,54.0,945.0,945.0,2,0
128,3,Ready To Move,Hormavu,SyidaCr,2.0,1.0,78.0,1500.0,1500.0,2,0
129,2,Ready To Move,Vishwapriya Layout,SyidaCr,7.0,0.0,115.0,950.0,950.0,7,1
130,0,Ready To Move,Peenya,Jahts H,3.0,3.0,110.0,1870.0,1870.0,3,0
131,2,Ready To Move,Sarjapur,Inensba,3.0,1.0,75.0,1600.0,1600.0,3,1
132,3,Ready To Move,Electronic City,Itelaa ,1.0,1.0,16.5,880.0,880.0,2,0
133,2,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,Itelaa ,4.0,0.0,210.0,1200.0,1200.0,4,1
134,3,Ready To Move,Kudlu Gate,Srier P,3.0,2.0,83.0,1535.0,1535.0,3,0
135,0,Ready To Move,Kanakpura Road,Wiowsri,2.0,1.0,57.0,950.0,950.0,2,0
136,3,18-Aug,Devanahalli,Derdsig,2.0,1.0,65.0,1360.0,1360.0,2,0
137,3,19-Mar,8th Phase JP Nagar,Vaarech,2.0,0.0,54.005,1042.0,1105.0,2,0
138,3,18-May,Bommasandra Industrial Area,Vaarech,3.0,1.0,50.4,1280.0,1280.0,3,0
139,3,19-Jan,Chandra Layout,TiaksAa,2.0,2.0,85.05,1260.0,1260.0,3,0
140,0,Ready To Move,Hennur Road,TiaksAa,8.0,2.0,250.0,5000.0,5000.0,8,1
141,3,19-Dec,Yelahanka,LedorSa,5.0,1.0,213.0,3050.0,3050.0,5,0
142,3,Ready To Move,Kasavanhalli,HMwerCo,3.0,1.0,105.0,1563.05,1563.05,3,0
143,3,Ready To Move,ISRO Layout,HMwerCo,2.0,1.0,60.0,1000.0,1000.0,2,0
144,3,17-Jul,Anandapura,ViensRK,2.0,1.0,43.76,1167.0,1167.0,2,0
145,3,Ready To Move,Vishveshwarya Layout,ViensRK,7.0,2.0,225.0,4000.0,4000.0,7,0
146,3,Ready To Move,Kothanur,Somumys,3.0,2.0,110.0,1828.0,1828.0,3,0
147,3,Ready To Move,Kengeri Satellite Town,HoiewLa,2.0,1.0,35.0,890.0,890.0,2,0
148,3,Ready To Move,Basavanapura,Dwity T,3.0,3.0,46.74,1612.0,1612.0,3,0
149,2,Ready To Move,Dinnur,Dwity T,5.0,3.0,185.0,1034.0,1034.0,6,1
150,3,19-Apr,Mysore Road,Brama P,4.0,2.0,91.31,1710.0,1710.0,3,0
151,3,Ready To Move,Kannamangala,VBownre,2.0,1.0,58.0,957.0,957.0,2,0
152,3,18-May, Devarachikkanahalli,VBownre,2.0,3.0,44.0,1250.0,1250.0,3,0
153,3,Ready To Move,Sanjeevini Nagar,Betatsi,4.0,3.0,235.0,2795.0,2795.0,3,0
154,3,Ready To Move,Hulimavu,Prcan P,2.0,2.0,50.0,1125.0,1125.0,2,0
155,3,18-Jul,Electronic City Phase II,Sryalan,2.0,1.0,30.6,1020.0,1020.0,2,0
156,3,Ready To Move,Kalena Agrahara,Sryalan,2.0,2.0,50.0,1200.0,1200.0,2,0
157,3,Ready To Move,Thanisandra,Soitya ,3.0,3.0,135.0,1735.0,1735.0,3,0
158,3,Ready To Move,Thanisandra,G conTh,3.0,1.0,145.0,2050.0,2050.0,3,0
159,2,Ready To Move,Mahalakshmi Layout,G conTh,4.0,0.0,760.0,3750.0,3750.0,4,1
160,0,Ready To Move,Yarandahalli,G conTh,2.0,3.0,48.0,1350.0,1350.0,3,0
161,3,18-May,Hosa Road,SStusan,2.0,1.0,32.0,1063.0,1063.0,2,0
162,3,Ready To Move,Keshava Nagar,ETens G,3.0,1.0,150.0,1904.0,1904.0,3,0
163,0,Ready To Move,Whitefield,ETens G,4.0,2.0,420.0,4200.0,4200.0,4,1
164,3,Ready To Move,RMV Extension,Hohnari,3.0,1.0,175.0,2000.0,2000.0,3,0
165,3,18-Dec,Sarjapur,Kinuerg,2.0,0.0,43.49,1145.0,1340.0,2,0
166,3,Ready To Move,Tejaswini Nagar,Naods W,2.0,2.0,75.0,1425.0,1425.0,3,0
167,3,Ready To Move,Electronic City,GMown E,2.0,1.0,64.5,1500.0,1500.0,3,0
168,0,Ready To Move,Electronic City,GMown E,2.0,1.0,60.0,1060.0,1060.0,2,0
169,0,Ready To Move,Jai Bheema Nagar,Sancyra,2.0,2.0,70.0,1470.0,1470.0,3,0
170,3,Ready To Move,Kothnur Narayanapura,Sancyra,6.0,0.0,99.0,1300.0,1300.0,6,0
171,3,Ready To Move,Attibele,Jae 1hu,1.0,1.0,11.0,450.0,450.0,1,0
172,3,18-Apr,Electronic City,Prarkun,2.0,1.0,64.5,1152.0,1152.0,2,0
173,3,Ready To Move,Electronic City,GMown E,2.0,1.0,56.0,1350.0,1350.0,3,0
174,3,Ready To Move,CV Raman Nagar,Srshq T,3.0,3.0,65.0,1550.0,1550.0,3,0
175,2,Ready To Move,CHIKKATIRUPATHI,Srshq T,3.0,2.0,100.0,1500.0,1500.0,3,1
176,2,Ready To Move,Kumaraswami Layout,Srshq T,3.0,2.0,85.0,600.0,600.0,5,1
177,2,Ready To Move,Nagavara,Srshq T,1.0,0.0,14.0,400.0,400.0,1,1
178,3,Ready To Move,Malleshwaram,Utntspa,1.0,2.0,67.0,705.0,705.0,1,0
179,0,Ready To Move,Electronic City,GMown E,1.0,1.0,36.0,770.0,770.0,2,0
180,3,Ready To Move,Hulimavu,Aniona ,2.0,3.0,51.0,1242.0,1242.0,2,0
181,3,Ready To Move,Hebbal Kempapura,Goateds,3.0,2.0,155.0,1700.0,1700.0,3,0
182,3,Ready To Move,Thanisandra,Soitya ,3.0,2.0,145.0,2144.0,2144.0,3,0
183,3,21-Jun,Vijayanagar,Saahaat,3.0,2.0,110.0,1704.0,1704.0,3,0
184,3,Ready To Move,Electronic City,GMown E,2.0,1.0,52.0,1070.0,1070.0,2,0
185,2,Ready To Move,8th block Koramangala,GMown E,3.0,2.0,300.0,1846.0,1846.0,3,1
186,3,Ready To Move,Jakkuru Layout,GMown E,2.0,2.0,55.7,1340.0,1340.0,2,0
187,0,Ready To Move,Electronic City,GMown E,2.0,1.0,46.0,1025.0,1025.0,2,0
188,3,Ready To Move,KR Puram,MCvarar,2.0,0.0,56.8,1015.0,1540.0,2,0
189,3,Ready To Move,Marathahalli,VRave E,2.0,2.0,52.0,1200.0,1200.0,2,0
190,0,18-Dec,Kanakpura Road,VRave E,4.0,1.0,110.0,2250.0,2250.0,4,1
191,3,Ready To Move,Pattandur Agrahara,MaidoPl,2.0,3.0,80.0,1550.0,1550.0,3,0
192,2,Ready To Move,Bellandur,MaidoPl,5.0,3.0,325.0,1200.0,1200.0,4,1
193,2,Ready To Move,Ejipura,MaidoPl,7.0,1.0,250.0,1800.0,1800.0,7,1
194,3,Ready To Move,Marathahalli,Aiitya ,2.0,2.0,60.0,1200.0,1200.0,2,0
195,3,Ready To Move,Yelahanka,PuziaVe,2.0,2.0,98.0,1327.0,1327.0,2,0
196,3,Ready To Move,Kothanur,PuziaVe,2.0,2.0,58.0,1186.0,1186.0,2,0
197,0,Ready To Move,MS Pallya,PuziaVe,3.0,1.0,115.0,1783.0,1783.0,3,1
198,3,Ready To Move,HSR Layout,NRosete,3.0,2.0,56.0,1400.0,1400.0,3,0
199,3,Ready To Move,Nagasandra,NRosete,2.0,1.0,48.0,980.0,980.0,2,0
200,3,Ready To Move,EPIP Zone,NRosete,2.0,2.0,82.0,1285.0,1285.0,2,0
201,3,Ready To Move,Langford Town,NRosete,2.0,1.0,70.0,912.0,912.0,3,0
202,0,Ready To Move,Whitefield,Sancya ,2.0,2.0,47.6,1225.0,1225.0,2,0
203,3,Ready To Move,Whitefield,Sancya ,2.0,1.0,53.0,1075.0,1075.0,2,0
204,0,Ready To Move,Kadugodi,MSingco,2.0,2.0,54.0,1260.0,1260.0,3,0
205,3,Ready To Move,Yelahanka,Pyikad ,2.0,2.0,48.7,1282.0,1282.0,3,0
206,3,Ready To Move,Kogilu,CaIRSCr,3.0,2.0,88.0,1909.0,1909.0,3,0
207,3,Ready To Move,Panathur,Prcesvy,2.0,1.0,87.0,1359.0,1359.0,2,0
208,0,Ready To Move,Nagondanahalli,Prcesvy,2.0,2.0,43.5,1207.0,1207.0,2,0
209,2,Ready To Move,Padmanabhanagar,Prcesvy,6.0,0.0,190.0,1736.0,1736.0,4,1
210,3,20-May,1st Block Jayanagar,Prcesvy,4.0,1.0,428.0,2850.0,2850.0,4,0
211,3,Ready To Move,Kammasandra,Emstael,3.0,2.0,65.0,1595.0,1595.0,3,0
212,0,18-Jun,"Off Sarjapur Road, ",Emstael,3.0,2.0,89.0,1798.0,1798.0,3,0
213,3,Ready To Move,Electronics City Phase 1,SNdri N,3.0,2.0,78.29,1475.0,1475.0,3,0
214,3,Ready To Move,Tala Cauvery Layout,HodhiSa,3.0,3.0,100.0,1580.0,1580.0,3,0
215,3,Ready To Move,Dasarahalli,Syonyph,2.0,1.0,65.0,1295.0,1295.0,2,0
216,0,Ready To Move,Magadi Road,Syonyph,6.0,0.0,141.0,3600.0,3600.0,6,1
217,3,Ready To Move,Electronic City,Itvir M,1.0,1.0,27.0,589.0,589.0,1,0
218,3,Ready To Move,Ngef Layout,Itvir M,3.0,3.0,78.0,1415.0,1415.0,3,0
219,3,18-Dec,Sarjapur  Road,Klark L,3.0,2.0,98.29,1787.0,1787.0,3,0
220,3,Ready To Move,Sarjapur  Road,Klark L,3.0,2.0,125.0,1787.0,1787.0,3,0
221,3,Ready To Move,Koramangala,Piityra,2.0,3.0,90.0,1475.0,1475.0,3,0
222,0,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",Piityra,4.0,1.0,75.5,2000.0,2000.0,4,0
223,3,19-Mar,Sarjapur  Road,AsastDe,2.0,1.0,44.28,984.0,984.0,2,0
224,3,19-Dec,Devanahalli,Jurdsig,2.0,1.0,74.82,1520.0,1740.0,3,0
225,3,Ready To Move,Muthurayya Swamy Layout,MacleK ,4.0,2.0,260.0,2405.0,2405.0,3,0
226,0,Ready To Move,7th Phase JP Nagar,Brnia G,2.0,2.0,72.0,1080.0,1080.0,2,0
227,2,Ready To Move,Shantiniketan Layout,Brnia G,2.0,1.0,115.0,1500.0,1500.0,2,1
228,3,Ready To Move,Hebbal,Brnia G,3.0,2.0,119.0,1900.0,1900.0,3,0
229,3,19-Aug,Dommasandra,Brnia G,2.0,1.0,22.14,805.0,805.0,2,0
230,3,Ready To Move,Budigere,PrityTr,2.0,2.0,56.4,1153.0,1153.0,2,0
231,3,Ready To Move,Dodda Nekkundi Extension,AlEcone,2.0,2.0,60.0,1148.0,1148.0,2,0
232,3,Ready To Move,Mylasandra,Laowsba,2.0,2.0,55.0,1110.0,1110.0,2,0
233,0,Ready To Move,Electronic City,Saave R,2.0,2.0,42.0,1100.0,1100.0,2,0
234,3,Ready To Move,Kalyan nagar,Anave S,2.0,2.0,110.0,1290.0,1290.0,2,0
235,3,Ready To Move,Dr Shivarama Karantha Nagar,Anave S,2.0,1.0,65.0,1500.0,1500.0,3,0
236,3,18-Apr,Bank Of Baroda Colony,Anave S,2.0,2.0,39.0,1080.0,1080.0,2,0
237,3,21-Jun,Vijayanagar,Saityat,3.0,1.0,129.0,1933.0,1933.0,3,0
238,0,Ready To Move,Ramamurthy Nagar,Saityat,5.0,2.0,150.0,3500.0,3500.0,5,1
239,0,Ready To Move,Kullappa Colony,Saityat,2.0,2.0,60.0,1060.0,1060.0,2,0
240,3,18-Aug,Chandapura,SunceEs,1.0,1.0,16.45,645.0,645.0,1,0
241,2,Ready To Move,Mukkutam Nagar,SunceEs,8.0,2.0,180.0,2600.0,2600.0,8,1
242,3,18-Sep,Chandapura,SunceEs,1.0,1.0,16.45,645.0,645.0,1,0
243,3,Ready To Move,Ashwath Nagar,SJcerpe,3.0,3.0,84.0,1644.0,1644.0,3,0
244,3,Ready To Move,Ncpr Industrial Layout,Supams ,2.0,3.0,72.5,1285.0,1285.0,2,0
245,2,Ready To Move,Electronic City,Supams ,3.0,1.0,90.0,1200.0,1200.0,3,1
246,3,Ready To Move,Electronic City,CoapeSo,2.0,1.0,40.0,910.0,910.0,2,0
247,3,Ready To Move,Kothanur,Bisic C,3.0,1.0,70.0,1577.0,1577.0,3,0
248,2,17-May,Meenakunte,Sreat R,3.0,2.0,280.0,4050.0,4050.0,3,1
249,3,Ready To Move,OMBR Layout,Inntsa ,3.0,2.0,185.0,2420.0,2420.0,3,0
250,3,Ready To Move,Chandapura,KHityry,1.0,1.0,20.0,800.0,800.0,2,0
251,0,Ready To Move,Anand Nagar,KHityry,2.0,2.0,55.0,1060.0,1060.0,2,0
252,3,Ready To Move,7th Phase JP Nagar,BriumMi,2.0,2.0,93.0,1270.0,1270.0,2,0
253,3,18-Jun,Shree Ananth Nagar Layout,BriumMi,2.0,2.0,22.5,900.0,900.0,2,0
254,0,Ready To Move,Kundalahalli Colony,BriumMi,2.0,1.0,69.0,1280.0,1280.0,2,1
255,2,Ready To Move,Horamavu Agara,BriumMi,2.0,0.0,95.0,1200.0,1200.0,4,1
256,0,Ready To Move,Sarjapur  Road,BriumMi,2.0,2.0,36.0,1025.0,1025.0,2,0
257,3,17-Jun,Electronic City,Prarkun,2.0,1.0,63.0,1108.0,1108.0,2,0
258,2,Ready To Move,MCECHS  layout,Prarkun,5.0,1.0,170.0,1200.0,1200.0,5,1
259,3,Ready To Move,Coffee Board Layout,Calyxy ,3.0,2.0,170.0,3045.0,3045.0,3,0
260,2,Ready To Move,Ambedkar Nagar,Thessrm,3.0,2.0,300.0,2900.0,2900.0,4,1
261,3,Ready To Move,Vijayanagar,JJortom,3.0,2.0,75.5,1500.0,1500.0,3,0
262,3,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,2.0,2.0,43.9,1295.0,1295.0,2,0
263,3,Ready To Move,Budigere,PrityTr,2.0,1.0,59.9,1162.0,1162.0,2,0
264,3,Ready To Move,Sarjapur  Road,Usquaya,2.0,2.0,49.2,1035.0,1035.0,2,0
265,0,Ready To Move,Attibele,Natic T,4.0,0.0,52.8,1600.0,1600.0,4,1
266,3,Ready To Move,KUDLU MAIN ROAD,Natic T,3.0,2.0,46.0,1464.0,1464.0,3,0
267,3,18-Oct,Hennur Road,DSapeSk,2.0,2.0,61.58,1866.0,1866.0,3,0
268,3,Ready To Move,Geleyara Balaga Layout,Jahtsa ,1.0,1.0,26.0,700.0,700.0,2,0
269,3,Ready To Move,Kalena Agrahara,Prillot,3.0,2.0,120.0,1804.0,1804.0,3,0
270,3,Ready To Move,Sarjapur,Prillot,2.0,1.0,32.0,913.0,913.0,2,0
271,3,21-Dec,Talaghattapura,Sodgere,3.0,2.0,131.0,1868.0,1868.0,3,0
272,0,Ready To Move,Kengeri Satellite Town,Sodgere,2.0,1.0,45.0,883.0,883.0,2,0
